qid	cid	question_category	question_subject	question	comment	comment_gold
Q155	Q155_C3	Opportunities	Salaries In Qatar Airways for ground Staff	Hi Guys, How much is the salaries of Qatar Airways ground staff? For junior and Senior positions. Please advise me the Range not looking for specific.	Guys r u sure thats wat happening in QR..	Bad
Q155	Q155_C4	Opportunities	Salaries In Qatar Airways for ground Staff	Hi Guys, How much is the salaries of Qatar Airways ground staff? For junior and Senior positions. Please advise me the Range not looking for specific.	No, Please report back after 6 months,....	Bad
Q155	Q155_C5	Opportunities	Salaries In Qatar Airways for ground Staff	Hi Guys, How much is the salaries of Qatar Airways ground staff? For junior and Senior positions. Please advise me the Range not looking for specific.	go there at 7 o clock morning...u will find yourself the worst dressed staff no enthusiasm of working in a ***** five star company....No wonder with a lessest salary everybody is a needy only who is working there.that's why they are growing fast...Hire only most needy person takeout most of the work possible from them and than boast off to the world that we are the best.....crap...dont go there...try ur luck somewhere else...	Bad
Q155	Q155_C6	Opportunities	Salaries In Qatar Airways for ground Staff	Hi Guys, How much is the salaries of Qatar Airways ground staff? For junior and Senior positions. Please advise me the Range not looking for specific.	thats not true qatar airways is perfect company	Bad
Q155	Q155_C7	Opportunities	Salaries In Qatar Airways for ground Staff	Hi Guys, How much is the salaries of Qatar Airways ground staff? For junior and Senior positions. Please advise me the Range not looking for specific.	hey what about food & beverage service agent?? something about their salary, conditions, progress for geting better salary,etc? thanks	Bad
Q155	Q155_C8	Opportunities	Salaries In Qatar Airways for ground Staff	Hi Guys, How much is the salaries of Qatar Airways ground staff? For junior and Senior positions. Please advise me the Range not looking for specific.	Text Missing Text Missing Text Missing Text Missing Text Missing	Bad
Q155	Q155_C9	Opportunities	Salaries In Qatar Airways for ground Staff	Hi Guys, How much is the salaries of Qatar Airways ground staff? For junior and Senior positions. Please advise me the Range not looking for specific.	i like to working for qatar airways as a IT admin.. can anyone help me	Bad
Q156	Q156_C1	Advice and Help	Where can I find a Notary Public in Doha?	Hi folks, I am just wondering where I can find a notary public to witness my signature and stamp a document for me. I have tried many embassies and a few law firms, but no luck. My country doesn't have an embassy here and all others will only provide this service to to their nationals. Any help on this matter would be greatly appreciated. Cheers	There are no Notaries in Qatar and all such works are done by the respective Embassies and Consulates. You should contact the New Zealand mission in Saudi Arabia accredited to Qatar. New Zealand Embassy Riyadh, Saudi Arabia Street Address: Diplomatic Quarter, Riyadh, Saudi Arabia Postal Address: PO Box 94 397, Riyadh 11693, Saudi Arabia Telephone: +966 1 488 7988 Facsimile: +966 1 488 7912 or +966 1 488 7911 Email: info@nzembassy.org.sa Website: New Zealand Embassy, Riyadh	Good
Q156	Q156_C2	Advice and Help	Where can I find a Notary Public in Doha?	Hi folks, I am just wondering where I can find a notary public to witness my signature and stamp a document for me. I have tried many embassies and a few law firms, but no luck. My country doesn't have an embassy here and all others will only provide this service to to their nationals. Any help on this matter would be greatly appreciated. Cheers	I am Canadian and had a similar problem. The British embassy did it for me. I am told that Canadians, Ausis, New Zealanders and Brits can resort to each others' embassies in case there is no embassy of your country.	Good
Q156	Q156_C3	Advice and Help	Where can I find a Notary Public in Doha?	Hi folks, I am just wondering where I can find a notary public to witness my signature and stamp a document for me. I have tried many embassies and a few law firms, but no luck. My country doesn't have an embassy here and all others will only provide this service to to their nationals. Any help on this matter would be greatly appreciated. Cheers	US embassy has one.	Good
Q156	Q156_C7	Advice and Help	Where can I find a Notary Public in Doha?	Hi folks, I am just wondering where I can find a notary public to witness my signature and stamp a document for me. I have tried many embassies and a few law firms, but no luck. My country doesn't have an embassy here and all others will only provide this service to to their nationals. Any help on this matter would be greatly appreciated. Cheers	With the US embassy charging $50 a page ( a disgrace and insult to every US citizen ), a public notary would be welcome alternative to this extortion rate. To add insult you even have to schedule an appointment to this raping price.	Good
Q162	Q162_C1	Qatar Living Lounge	IPHONE 3GS 3.1.3	I updated my unlocked/jailbreaked phone to version 3.1.3 accidentally and not able to unlock it anymore...Is there any shop where I can get this fixed ? Thx	YEs. I can unlock it for you. Price is, QAR. 100.00 Pls contact me on 5505867 Sam	Good
Q162	Q162_C2	Qatar Living Lounge	IPHONE 3GS 3.1.3	I updated my unlocked/jailbreaked phone to version 3.1.3 accidentally and not able to unlock it anymore...Is there any shop where I can get this fixed ? Thx	hey no need to anywhere just open ur itunes in ur laptop or desktop and then connect ur iphone it will get unlock.	Good
Q162	Q162_C3	Qatar Living Lounge	IPHONE 3GS 3.1.3	I updated my unlocked/jailbreaked phone to version 3.1.3 accidentally and not able to unlock it anymore...Is there any shop where I can get this fixed ? Thx	"click on restore and get back all. sn0wbreeze or redsn0w use one of those application for jailbreak and to unlock it. <img src=""http://www.qatarliving.com/files/images/Da.gif"">"	Good
Q162	Q162_C4	Qatar Living Lounge	IPHONE 3GS 3.1.3	I updated my unlocked/jailbreaked phone to version 3.1.3 accidentally and not able to unlock it anymore...Is there any shop where I can get this fixed ? Thx	if your phone is an old 3G you can downgrade the baseband via fuzzyband even though you updated to 3.1.3 however, if you are on a 3GS you need to wait until a new unlock is unveiled which will only be released when Apple releases a new Major update as the unlock teams currently do not wish to reveal their current exploits until a major update is released by Apple. All the best, Chad p.s. hope you are running a 3G :)	Good
Q162	Q162_C6	Qatar Living Lounge	IPHONE 3GS 3.1.3	I updated my unlocked/jailbreaked phone to version 3.1.3 accidentally and not able to unlock it anymore...Is there any shop where I can get this fixed ? Thx	No need to pay anyone just visit this site trust me it will teach you in baby steps with pictures what do to http://www.iclarified.com/tutorials/iphone/index.php 3.1.3 is fairly new just wait a month inshallah if the jail break not avaliable yet. Nothing But Nothing But Truth!	Good
Q187	Q187_C2	Electronics	Iphone 4	Can anyone please tell me whats the price of an Iphone 4 in Doha?	PRice btwn 3000-4000	Good
Q187	Q187_C3	Electronics	Iphone 4	Can anyone please tell me whats the price of an Iphone 4 in Doha?	bought mine (16GB) in Sept QR 2,850 with free sim and 250 load	Good
Q187	Q187_C4	Electronics	Iphone 4	Can anyone please tell me whats the price of an Iphone 4 in Doha?	You can buy around QRS. 3000	Good
Q188	Q188_C1	Visas and Permits	Medical Problem any Solution?	My wife is here in Doha came on Family Visit Visa extended upto 7 July 2012, She got a job so I give NOC to change to Work visa but unfortunately Medical Test reasult came UNFIT due to scar in lungs,Is there any solution for this problem? If anyone can help please suggest.	tfs	Bad
Q199	Q199_C2	Family Life in Qatar	Nurserys	Hi all... I've just arrived in the lovely Qatar last week!! so far so good!! haha.. My wife and children arrive in March.. I am wondering what is the best English speaking nursery for my 2 yr old lad... We are located in Education City.. Fees are not a problem as it's in my employers contract to pay for it. Ta in advance for advice Stu	Stu, hope you're settling in ok. I've looked at both of these nurseries for my 2 year old too, they look like the best so far. Please check your employment contract becuase my hubby's company only pay for 4 years old and up. Just in case... *****If you haven't got anything nice to say, don't say anything at all*****	Bad
Q199	Q199_C4	Family Life in Qatar	Nurserys	Hi all... I've just arrived in the lovely Qatar last week!! so far so good!! haha.. My wife and children arrive in March.. I am wondering what is the best English speaking nursery for my 2 yr old lad... We are located in Education City.. Fees are not a problem as it's in my employers contract to pay for it. Ta in advance for advice Stu	"Mrs DMS is there! ""I'm back, simple as that"""	Good
Q209	Q209_C1	Qatar Living Lounge	Why it is difficult for People???	to Mind their Own Business?	"<img src=""http://www.pic4ever.com/images/290.gif"" border=""0"" >"	Good
Q210	Q210_C1	Sports in Qatar	Best spot for catching crabs?	Does anyone know of any good locations to go crabbing? The only place I know where people go crab hunting is at Simaisma (crabs not as abundant as before).	You could probably catch crabs in the watering hole in the Sheraton.	Good
Q210	Q210_C2	Sports in Qatar	Best spot for catching crabs?	Does anyone know of any good locations to go crabbing? The only place I know where people go crab hunting is at Simaisma (crabs not as abundant as before).	My friends catches crabs at Wakra sealine area. However, I've seen their catches, it's small crabs but good in volume.	Good
Q210	Q210_C3	Sports in Qatar	Best spot for catching crabs?	Does anyone know of any good locations to go crabbing? The only place I know where people go crab hunting is at Simaisma (crabs not as abundant as before).	Go to Fish Market near salwa road	Good
Q210	Q210_C4	Sports in Qatar	Best spot for catching crabs?	Does anyone know of any good locations to go crabbing? The only place I know where people go crab hunting is at Simaisma (crabs not as abundant as before).	simpleej, In your country, I caught crabs at the glass houses. Once in Itaewon, once at T Street in Pusan and once at Chagal madong in Taegu. Oh yeah, several times in Dongduchon and Ouijangbu. You can keep th Seafood!	Good
Q210	Q210_C5	Sports in Qatar	Best spot for catching crabs?	Does anyone know of any good locations to go crabbing? The only place I know where people go crab hunting is at Simaisma (crabs not as abundant as before).	go semisima mate, but make sure there is no moon light otherwise there will be no crabs.. good luck	Good
Q214	Q214_C1	Qatar Living Lounge	UK Visa enquiry	Hello everyone I want to know how much time does it take to get a visa for UK.I am flying this 17 oct but waiting for my visa.I applied yesterday only.Can anybody advice?	I applied last sept 30 and still waiting for my visa.	Good
Q214	Q214_C2	Qatar Living Lounge	UK Visa enquiry	Hello everyone I want to know how much time does it take to get a visa for UK.I am flying this 17 oct but waiting for my visa.I applied yesterday only.Can anybody advice?	It took me 3-4 days. Apply on Sunday and by Wednesday you get a message to collect the passport. It sometime takes time to get an appointment but since you've already done that and if your details are fine it should be 3-4 days	Good
Q214	Q214_C3	Qatar Living Lounge	UK Visa enquiry	Hello everyone I want to know how much time does it take to get a visa for UK.I am flying this 17 oct but waiting for my visa.I applied yesterday only.Can anybody advice?	I suppose it also depends on Nationality. Mine took two working day. And surprise of surprises, my sponsor went and it took him a month and also an interview.	Good
Q214	Q214_C4	Qatar Living Lounge	UK Visa enquiry	Hello everyone I want to know how much time does it take to get a visa for UK.I am flying this 17 oct but waiting for my visa.I applied yesterday only.Can anybody advice?	it will take 10-15 working days.	Good
Q214	Q214_C5	Qatar Living Lounge	UK Visa enquiry	Hello everyone I want to know how much time does it take to get a visa for UK.I am flying this 17 oct but waiting for my visa.I applied yesterday only.Can anybody advice?	so you better re-schedule...	Good
Q214	Q214_C6	Qatar Living Lounge	UK Visa enquiry	Hello everyone I want to know how much time does it take to get a visa for UK.I am flying this 17 oct but waiting for my visa.I applied yesterday only.Can anybody advice?	you should have used priority service (3 days) wait for 2 weeks minimum	Good
Q222	Q222_C1	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	timebandit, I wish I owned the site, but I do not. I was hoping to find something like it to use to make purchases.	Bad
Q222	Q222_C3	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	Thanks, shyams. I am thinking of trying the one I listed above just to see how it works. I think it is in Qatar, so the shipping may be better. I think I will try to sell something first, because the site looks so new - there aren't too many things to buy. I'll let you know how it goes.	Bad
Q222	Q222_C4	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	you are welcome.. till now I havent seen any ebay seller from Qatar.....	Bad
Q222	Q222_C6	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	backed out in a sense that...they had not read the specs well, though I had them listed, their issue was with the processor of my laptop and also under the assumption that it was with a video card..which it wasn't. But for me to list it there again, is because I believe it will work..if not now then some other time. mojo1981	Bad
Q222	Q222_C7	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	I signed up, but haven't listed anything yet.	Good
Q222	Q222_C10	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	the real meaning of Auction is to catch up here.... the reason 1. the country is small, you can always call up the seller directly and negotiate the price. 2. can always drop in to check the stuff yourself. 3. the price. 4. Options	Bad
Q222	Q222_C12	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	"It would be good, especially, for people who prefer to not meet in person. I get nervous setting up a meeting with someone I do not know. An auction site might be a good idea as a ""middle man""."	Good
Q222	Q222_C13	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	great shopping on ebay.. i had done several times... shipping cost should be mention on item description, if not just ask the seller... but be careful on reading the fulll description carefuly, regarding like warranty, refund, exchange, damage, geniune, new or used etc...	Good
Q222	Q222_C14	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	i think thats hectic for a place like qatar. especially the shipping costs and the time taken to arrive. why dont you try any local shops like home centre or homes r us if its for furnitures? there are a hundred other shops in salwa road for furnitures, household items etc etc etc. wats that u exactly wanna buy? [img_assist|nid=17892|title=http://braveatheart.blogspot.com/|desc=|link=none|align=left|width=180|height=135	Good
Q222	Q222_C18	Doha Shopping	Do you shop online with auctions?	I am setting up my home and am thinking of trying ebay or similar sites to try to save money. I might try to list some of my things to sell as well. I am wondering about shipping and fees and so on. Does anyone have experience with this?	I will be shopping when I get there and was wondering about online shopping vs. stores.	Bad
Q231	Q231_C1	Visas and Permits	Help! NOC required for visit visa extension?	Help! I just want to ask if NOC is again required for visit visa extension? the visit visa is personal visit/ father sponsoring his daughter. Thank you very much! Cheers!	No there is no requirement of NOc for extension of VISIT VISA	Good
Q231	Q231_C2	Visas and Permits	Help! NOC required for visit visa extension?	Help! I just want to ask if NOC is again required for visit visa extension? the visit visa is personal visit/ father sponsoring his daughter. Thank you very much! Cheers!	No need of NOc for extension of VISIT VISA Read more: http://www.qatarliving.com/node/3225908#ixzz202zQa7e7	Good
Q231	Q231_C3	Visas and Permits	Help! NOC required for visit visa extension?	Help! I just want to ask if NOC is again required for visit visa extension? the visit visa is personal visit/ father sponsoring his daughter. Thank you very much! Cheers!	thank you so much balbirsingh and Qatar Mallu Radio.:)	Bad
Q231	Q231_C4	Visas and Permits	Help! NOC required for visit visa extension?	Help! I just want to ask if NOC is again required for visit visa extension? the visit visa is personal visit/ father sponsoring his daughter. Thank you very much! Cheers!	My dear no N.O.C. is required for extension only medical is required for extension.	Good
Q231	Q231_C5	Visas and Permits	Help! NOC required for visit visa extension?	Help! I just want to ask if NOC is again required for visit visa extension? the visit visa is personal visit/ father sponsoring his daughter. Thank you very much! Cheers!	thank you shahid. :)	Bad
Q235	Q235_C1	Opportunities	How to Get a Bachelors Degree???	Can Anyone help me in this??? I could not complete my education ... i l be 25 tis september... is their any way to get a batchelors degree from qatar while working???	complete your all degree in one sitting from UGC approved indian universities. contact me :rafitt007@yahoo.co.in 00974 66278963	Good
Q235	Q235_C7	Opportunities	How to Get a Bachelors Degree???	Can Anyone help me in this??? I could not complete my education ... i l be 25 tis september... is their any way to get a batchelors degree from qatar while working???	there are lots of places you can get a fully accredited degree part time by distance education. For example, since you are on the web, search for Athabasca University (it's in Canada). It's worth it to get your degree, hang in there!	Good
Q235	Q235_C8	Opportunities	How to Get a Bachelors Degree???	Can Anyone help me in this??? I could not complete my education ... i l be 25 tis september... is their any way to get a batchelors degree from qatar while working???	University of South Africa, recognized globally and a lot cheaper than the US long distance universities. www.unisa.ac.za. You write the exams at the British Council.	Good
Q235	Q235_C9	Opportunities	How to Get a Bachelors Degree???	Can Anyone help me in this??? I could not complete my education ... i l be 25 tis september... is their any way to get a batchelors degree from qatar while working???	tXZ bOER	Bad
Q235	Q235_C10	Opportunities	How to Get a Bachelors Degree???	Can Anyone help me in this??? I could not complete my education ... i l be 25 tis september... is their any way to get a batchelors degree from qatar while working???	Contact the National study centre in MES. They will assist you. They have many distant education degree programs from differnt universities in India. Exams are conducted by the respective university here in Doha under the supervision of the Indian Embassy good luck	Good
Q235	Q235_C11	Opportunities	How to Get a Bachelors Degree???	Can Anyone help me in this??? I could not complete my education ... i l be 25 tis september... is their any way to get a batchelors degree from qatar while working???	Check with MES off campus. they offer distance education like B.com,BA,BBA,BBM etc.. from various Indian Universities like IGNOU,MGU, Calicut Univ etc. Classes (Doubt clearing session) will be on weekends, 2 hours.Friday(8-10AM) and on Saturday(6.30 PM to 8.30PM) QAR 2500 per year including books for most of the degrees. Or try in NEC (National Education Center) They also offer the same degrees. But they have got more classes than MES and they charge 3 or 4 times more as well.. Best of Luck!	Good
Q235	Q235_C15	Opportunities	How to Get a Bachelors Degree???	Can Anyone help me in this??? I could not complete my education ... i l be 25 tis september... is their any way to get a batchelors degree from qatar while working???	txz arien txz rms... i ll choose mes distance ........	Bad
Q238	Q238_C1	Advice and Help	ACCA Institution and classes in Qatar??	i m currently a student of 12th (CBSE) in Qatar. I need advice regarding further studies in taking up ACCA degree from Qatar itself. Guide please.	Ernst & Young are the only approved provider for the ACCA in Qatar.EY's training center is located in Gulf Paradise Hotel. You can contact them on 44984814 There are other people are giving training on the same Al-Dusari Auditing n Accounting firm, its in muntazah and their contact:44319112/44319113 ExecuTrain, near mall r/a.For details, contact:44550884 For more info about ACCA, visit : www.accaglobal.com (These infos are taken from QL itself :) )	Good
Q238	Q238_C2	Advice and Help	ACCA Institution and classes in Qatar??	i m currently a student of 12th (CBSE) in Qatar. I need advice regarding further studies in taking up ACCA degree from Qatar itself. Guide please.	ernst & young is no more providing ACCA in Qatar.Thats what i hav heard!	Good
Q243	Q243_C3	Qatari Culture	Qatari Cuisine	Hi Everybody... Could someone help with Information reagrding Qatari Cuisine? I am planning to document local Qatari Cuisine and its history. Any one who could help? Thnks..	they like to eat baby camel meat, normally they enjoyed it the party. Everybody is right everybody is wrong, it depend where you stand	Bad
Q243	Q243_C4	Qatari Culture	Qatari Cuisine	Hi Everybody... Could someone help with Information reagrding Qatari Cuisine? I am planning to document local Qatari Cuisine and its history. Any one who could help? Thnks..	There are many Qatari recipes.. The traditional dishes can be super yummy.. My mother in law is an expert! Contact me via my profile and I'll get back to you.. I'll get you authentic sources for your research..I 'll be glad to help.. Good luck!! [img_assist|nid=7232|title=Dua|desc=Amen :-)|link=none|align=left|width=440|height=56]	Good
Q243	Q243_C6	Qatari Culture	Qatari Cuisine	Hi Everybody... Could someone help with Information reagrding Qatari Cuisine? I am planning to document local Qatari Cuisine and its history. Any one who could help? Thnks..	All Qataris I know have cooks from India. So, Qatari Cuisine is Indian Cuisine. Some add joghurt and it becomes Turkish Cuisine. Others order from a Lebanese restaurant.	Good
Q243	Q243_C8	Qatari Culture	Qatari Cuisine	Hi Everybody... Could someone help with Information reagrding Qatari Cuisine? I am planning to document local Qatari Cuisine and its history. Any one who could help? Thnks..	Balhambar Restaurant, down at the Cornish, has a Qatari Buffet. I enjoyed very limited dishes there, but hard to remember the names or even the ingredients. You may want to visit Souk Wakif, there is pure Qatari food corner there. I remember dishes like Tharid, Harees, Mashhool (rice and chicken)thats it. They also eat dates and a kind of dumpling. Maybe Aisha, bleu, qatari-princess and Diamond can help you on this one. Salam	Good
Q245	Q245_C1	Life in Qatar	can unmarried girls work in qatar?	hi.. I have come to qatar in visit visa.and i like to work in qatar.but i heard that girls with visit visa cant seek jobs here.i would like to know is it possible for me to work here under these limitations..if no,can u suggest any alternative?	Indeed they can	Good
Q245	Q245_C2	Life in Qatar	can unmarried girls work in qatar?	hi.. I have come to qatar in visit visa.and i like to work in qatar.but i heard that girls with visit visa cant seek jobs here.i would like to know is it possible for me to work here under these limitations..if no,can u suggest any alternative?	yes, you can and they can...Qatar doesn't ban single women from working. The issue would be not with your gender but with your visa. Since you're on the visit visa you need to find job/company that will provide with the residence permit before your current visa expires or else a fine of 200QR/day for overstaying. Good Luck!	Good
Q245	Q245_C3	Life in Qatar	can unmarried girls work in qatar?	hi.. I have come to qatar in visit visa.and i like to work in qatar.but i heard that girls with visit visa cant seek jobs here.i would like to know is it possible for me to work here under these limitations..if no,can u suggest any alternative?	Yes u can,	Good
Q245	Q245_C4	Life in Qatar	can unmarried girls work in qatar?	hi.. I have come to qatar in visit visa.and i like to work in qatar.but i heard that girls with visit visa cant seek jobs here.i would like to know is it possible for me to work here under these limitations..if no,can u suggest any alternative?	surely ummarried girls can work but the fact is that since ur visa is visit visa u have 2 first chng ur visa status 2 a firm then only u cn work becaus emost of the firms prefer females with family sponsorship ie husband/father status.	Good
Q246	Q246_C1	Family Life in Qatar	Hamous and Kubus for children	My daughter loves to eat Hamous and Kubus (arabic Bread) can any body tell me whether it is good for her health Thanks.	It is good for growing children but depends how and when it is consumed... Recomendations A) Early B/Fast B) Early Dinners Better to consume with more olive oil (Organic/Extra Virgin, First Cold press) as a topping add on. Two/Three times a week is ok if your staple food is not lentil based. I assume you will be buying it from famous Hamous guys (Beruit), order it without oil and use your own olive oil as recomended above. Hope this helps	Good
Q246	Q246_C2	Family Life in Qatar	Hamous and Kubus for children	My daughter loves to eat Hamous and Kubus (arabic Bread) can any body tell me whether it is good for her health Thanks.	Please read the second posting	Bad
Q246	Q246_C3	Family Life in Qatar	Hamous and Kubus for children	My daughter loves to eat Hamous and Kubus (arabic Bread) can any body tell me whether it is good for her health Thanks.	I would say its marginally better for her health than KFC and Krispy Kreme doughnuts!	Good
Q253	Q253_C1	Sightseeing and Tourist attractions	Where do you recommend I go on my holiday in Sri Lanka?	It's our first time to visit this country and aside from the information from the net, I really don't know where to go/ or what to do.. Can anyone please help us? Any tips and bits will really help :))	Colombo sucks! Galle is quite nice for 2-3 days. Kandy is OK for the same. Must see Pinawalla elephant orphanage	Good
Q253	Q253_C2	Sightseeing and Tourist attractions	Where do you recommend I go on my holiday in Sri Lanka?	It's our first time to visit this country and aside from the information from the net, I really don't know where to go/ or what to do.. Can anyone please help us? Any tips and bits will really help :))	go to Nuwaraeliya, Bentota, Galle, Kandy, these are Very nice places..	Good
Q253	Q253_C3	Sightseeing and Tourist attractions	Where do you recommend I go on my holiday in Sri Lanka?	It's our first time to visit this country and aside from the information from the net, I really don't know where to go/ or what to do.. Can anyone please help us? Any tips and bits will really help :))	galle and kandy very nice	Good
Q261	Q261_C1	Life in Qatar	Buy car on installments	Hey guys, Is it possible to buy car in Qatar on installments? what are the requirements to do so ? thnx, LK	No, you have to have cash or take out a bank loan. Mandi	Good
Q261	Q261_C2	Life in Qatar	Buy car on installments	Hey guys, Is it possible to buy car in Qatar on installments? what are the requirements to do so ? thnx, LK	Ive read ( on other sutes) that some car sales outlets offer financing which is a bit more than the banks loan. Im in the same boat, comming over soon and need to acquire a vehicle.....stuff is cheap !!! going to get me a V8	Good
Q269	Q269_C3	Family Life in Qatar	Does any one know about living in Riadh ??	Hi everyone My husband and I have been enjoing living in Doha for 6 years .Now we have a better job offer in Riadh. We are a moslem Egyptian family, so no problem with the religious atmosphere. But I am worried about how would life be comparing to open Doha, especially for women . sports for kids???places to dine in with the family???parks ???weather conditions???I need help. thanks	You gave me a alittle light at the end of the tunnel !thamks	Bad
Q269	Q269_C5	Family Life in Qatar	Does any one know about living in Riadh ??	Hi everyone My husband and I have been enjoing living in Doha for 6 years .Now we have a better job offer in Riadh. We are a moslem Egyptian family, so no problem with the religious atmosphere. But I am worried about how would life be comparing to open Doha, especially for women . sports for kids???places to dine in with the family???parks ???weather conditions???I need help. thanks	is it true that women are already allowed to drive in Saudi?	Bad
Q269	Q269_C6	Family Life in Qatar	Does any one know about living in Riadh ??	Hi everyone My husband and I have been enjoing living in Doha for 6 years .Now we have a better job offer in Riadh. We are a moslem Egyptian family, so no problem with the religious atmosphere. But I am worried about how would life be comparing to open Doha, especially for women . sports for kids???places to dine in with the family???parks ???weather conditions???I need help. thanks	don't provide wrong information to someone if you don't know please. Hazems Mom got scared after getting information from you.......lol	Bad
Q269	Q269_C7	Family Life in Qatar	Does any one know about living in Riadh ??	Hi everyone My husband and I have been enjoing living in Doha for 6 years .Now we have a better job offer in Riadh. We are a moslem Egyptian family, so no problem with the religious atmosphere. But I am worried about how would life be comparing to open Doha, especially for women . sports for kids???places to dine in with the family???parks ???weather conditions???I need help. thanks	I am fine. What about you?	Bad
Q269	Q269_C9	Family Life in Qatar	Does any one know about living in Riadh ??	Hi everyone My husband and I have been enjoing living in Doha for 6 years .Now we have a better job offer in Riadh. We are a moslem Egyptian family, so no problem with the religious atmosphere. But I am worried about how would life be comparing to open Doha, especially for women . sports for kids???places to dine in with the family???parks ???weather conditions???I need help. thanks	I have heard of punishable restrictions over there.I mean they are very much strict about covering heads and not walking alone without a male member. Although I have heard that no defered quality goods are available over there.They have still low cost of living and good quality of life.But with restrictions...	Bad
Q275	Q275_C1	Doha Shopping	Pen Scanner	Were can I buy pen scanner in Qatar and what will be the price???	I have seen these in loads of places, but I know for a fact they are in Jarir (or were recently).	Good
Q275	Q275_C2	Doha Shopping	Pen Scanner	Were can I buy pen scanner in Qatar and what will be the price???	If i remember correctly the Apple store at the Mall had one of those. I remember coz the sales guy was trying to demonstrate it to me but didnt know how to get it to work....yes thats right :P	Good
Q275	Q275_C4	Doha Shopping	Pen Scanner	Were can I buy pen scanner in Qatar and what will be the price???	Ok there is a shop opposite 'Bench' in Hayatt Plaza that sells gadgets and luggage. I don't remember the name, but they had them as well.	Good
Q275	Q275_C5	Doha Shopping	Pen Scanner	Were can I buy pen scanner in Qatar and what will be the price???	And Smoke is corrcet... I also had a salesman try and get me to buy one of these in the Apple Stores as well.	Good
Q275	Q275_C7	Doha Shopping	Pen Scanner	Were can I buy pen scanner in Qatar and what will be the price???	Jarir Bookstore, and no idea. http://www.jarirbookstore.com/	Good
Q286	Q286_C2	Doha Shopping	Mattress shop??	Does anyone know of a good mattress shop in Doha? Does Home Center have a good one?!	On Salwa road are several mattress shops, like silent night, King Koil etc. The cheap ones are available at souq haraj. Aisha-Taweela	Good
Q286	Q286_C4	Doha Shopping	Mattress shop??	Does anyone know of a good mattress shop in Doha? Does Home Center have a good one?!	http://kingkoildoha.com/range.html	Good
Q286	Q286_C5	Doha Shopping	Mattress shop??	Does anyone know of a good mattress shop in Doha? Does Home Center have a good one?!	igot one excellent mattress from SERTA at salwa road near springwall. price is somehow high yet it's half of our life time :) it's on the left side when heading to industrial area, i guess between 3azizia and 3ein khaled R/A. Yalla!	Good
Q291	Q291_C1	Doha Shopping	Travel Insurance	My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application, I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks	go to any insurance compnay in Doha, Qatar Insurance Qatar General Insurance	Good
Q291	Q291_C2	Doha Shopping	Travel Insurance	My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application, I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks	Any travel agency such as Regency Travels, Tourist Travel etc. can arrange the travel insurance for you,	Good
Q291	Q291_C3	Doha Shopping	Travel Insurance	My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application, I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks	Travel insurace can be obtained in Qatar Holidays in Qatar Airways building.	Good
